Price,Title,Condition,Kilometers,Year:,Drivetrain:,Make:,Transmission:,Model:,Fuel Type:,Colour:,Body Type:
"$34,998.00 ",2020 Toyota RAV4 XLE,Used,"66,547",2020,Front-wheel drive (FWD),Toyota,Automatic,RAV4,Gasoline,Red,"SUV, Crossover"
"$43,498.00 ","2021 Toyota Tacoma Alloy Wheels, Heated Seats, Bluetooth",Used,"76,500",2021,4 x 4,Toyota,Automatic,Tacoma,Gasoline,Black,Other
"$44,998.00 ",2019 Toyota Highlander Limited Fully Loaded!,Used,"55,129",2019,All-wheel drive (AWD),Toyota,Automatic,Highlander,Gasoline,White,"SUV, Crossover"
0, 2019 Chevrolet Equinox LT Redline Ed- Navigation | Remote Start,Used,"131,726",2019,All-wheel drive (AWD),Chevrolet,Automatic,Equinox,Gasoline,Black,"SUV, Crossover"
"$22,990.00 ",2019 Hyundai Tucson Preferred AWD,Used,"113,000",2019,All-wheel drive (AWD),Hyundai,Automatic,Tucson,Other,Other,"SUV, Crossover"
"$16,950.00 ",2016 Subaru WRX,Used,"192,482",2016,All-wheel drive (AWD),Subaru,Manual,WRX,Gasoline,Black,Other
0,2015 Ford Explorer,Used,"139,688",2015,4 x 4,Ford,Automatic,Explorer,Gasoline,Brown,"SUV, Crossover"
"$26,250.00 ",AUDI A3 PLUG-IN ELECTRIC & GAS HYBRID HATCHBACK,Used,"65,734",2016,Front-wheel drive (FWD),Audi,Automatic,A3,Hybrid-Electric,Silver,Hatchback
"$2,500.00 ",2010 Dodge Caliber,Used,"189,800",2010,,Dodge,,Caliber,,,Hatchback
Please Contact,2016 Jeep Cherokee Limited Edition,Used,"132,000",2016,Front-wheel drive (FWD),Jeep,Automatic,Cherokee,Gasoline,White,"SUV, Crossover"
"$24,900.00 ",2018 Ford Transit,Used,"246,824",2018,Front-wheel drive (FWD),Ford,Automatic,Transit,Other,White,Other
"$17,990.00 ",2016 Kia Sorento SX - 7 PASSENGER / WINTER TIRE PACKAGE - LOADED,Used,"208,650",2016,All-wheel drive (AWD),Kia,Automatic,Sorento,Gasoline,White,"SUV, Crossover"
0,"2019 Toyota Camry LE w/ Apple CarPlay, Bluetooth, Radar Cruise, ",Used,"81,000",2019,Front-wheel drive (FWD),Toyota,Automatic,Camry,Other,Black,Sedan
"$31,995.00 "," 2020 Honda Accord Sedan SPORT, CLEAN CARFAX, BALANCE OF FACTORY",Used,"81,000",2020,Front-wheel drive (FWD),Honda,Automatic,Accord,Gasoline,Red,Sedan
"$28,390.00 ","2019 Acura ILX Premium w/ Apple CarPlay & Android Auto, Bluetoot",Used,"58,194",2019,Front-wheel drive (FWD),Acura,Automatic,ILX,Other,Silver,Sedan
"$104,289.00 ",2021 Ram 1500 TRX |6.2L HEMI V8 SUPERCHARGED!| LEVEL 2 EQPT.!|S,Used,"59,890",2021,4 x 4,Ram,Automatic,1500,Gasoline,White,Pickup Truck
"$24,995.00 ",2019 Hyundai Veloster GL    LANE DEPARTURE!!,Used,"60,700",2019,Front-wheel drive (FWD),Hyundai,Automatic,Veloster,Gasoline,Grey,Coupe (2 door)
"$14,995.00 ",2015 Dodge Grand Caravan 4dr Wgn,Used,"145,000",2015,Front-wheel drive (FWD),Dodge,Automatic,Grand Caravan,Other,White,Other
"$25,475.00 ","2017 Chevrolet Silverado 1500 LT Z71, Bluetooth, Heated Seats, R",Used,"217,985",2017,4 x 4,Chevrolet,Automatic,Silverado 1500,Other,White,Pickup Truck
"$15,900.00 ",2012 Ford Econoline Cargo Van E250,Used,"149,538",2012,Rear-wheel drive (RWD),Ford,Automatic,E-Series Van,Other,White,"Minivan, Van"
"$16,900.00 ",2008 Ford Super Duty F-350 SRW Long Box 2WD,Used,"108,417",2008,Rear-wheel drive (RWD),Ford,,F-350,Gasoline,White,Pickup Truck
"$13,900.00 ",2014 Ram Cargo Van,Used,"154,941",2014,Front-wheel drive (FWD),Ram,Automatic,Cargo,Gasoline,White,"Minivan, Van"
"$27,095.00 ",2019 Chevrolet Equinox LT | REMOTE START | ANDROID AUTO | HEATED,Used,"86,487",2019,All-wheel drive (AWD),Chevrolet,Automatic,Equinox,Gasoline,Silver,"SUV, Crossover"
"$19,888.00 ",2018 Chevrolet Trax LT,Used,"74,337",2018,Front-wheel drive (FWD),Chevrolet,Automatic,Trax,Gasoline,Grey,"SUV, Crossover"
Please Contact,2022 Buick Envision Avenir,Used,"27,453",2022,All-wheel drive (AWD),Buick,Automatic,Envision,Gasoline,Blue,"SUV, Crossover"
"$93,095.00MSRP: $93,095.00",2024 Ram 1500 LIMITED,New,0,2024,Other,Ram,Automatic,1500,Gasoline,Silver,Pickup Truck
"$2,995.00 ", 2003 Honda CR-V EX*AUTO*4X4*4 CYLINDER*AS IS SPECIAL,Used,"379,675",2003,4 x 4,Honda,Automatic,CR-V,Gasoline,Black,"SUV, Crossover"
"$12,541.00 ", 2015 Nissan Versa Note,Used,"90,969",2015,Front-wheel drive (FWD),Nissan,Manual,Other,Gasoline,Other,Hatchback
"$32,963.00 ",2020 Kia Stinger GT Limited w/Red Interior,Used,"133,080",2020,All-wheel drive (AWD),Kia,Automatic,Stinger,Gasoline,Grey,Sedan
"$128,529.00 ",2024 GMC SIERRA ULTIMATE DENALI 3500,Used,2,2024,,GMC,,Sierra 3500,,,Pickup Truck
"$35,498.00 ", 2017 Jeep Grand Cherokee 4WD 4dr Trailhawk,Used,"135,963",2017,4 x 4,Jeep,Automatic,Grand Cherokee,Gasoline,Grey,"SUV, Crossover"
"$39,498.00 ", 2019 Ram 1500 Classic Express,Used,"42,516",2019,4 x 4,Ram,,1500,Gasoline,Grey,Pickup Truck
"$45,500.00 ",2022 jeep wrangler ,Used,"20,300",2022,,Jeep,,Wrangler,,,Other
"$32,991.00 "," 2019 GMC Acadia SLE - Moonroof, 7 passenger",Used,"57,512",2019,Front-wheel drive (FWD),GMC,Automatic,Acadia,Gasoline,Brown,"SUV, Crossover"
"$32,896.00 ", 2022 Nissan Rogue,Used,"32,025",2022,All-wheel drive (AWD),Nissan,Automatic,Rogue,Gasoline,White,"SUV, Crossover"
0, 2021 GMC Canyon AT4,Used,"70,955",2021,4 x 4,GMC,Automatic,Canyon,Gasoline,Other,Pickup Truck
"$44,996.00 ", 2022 Cadillac XT4 FWD Luxury,Used,"11,780",2022,Front-wheel drive (FWD),Cadillac,Automatic,XT4,Gasoline,Silver,"SUV, Crossover"
"$35,494.00 ","2019 BMW 3 Series 330i xDrive - Leather, Sunroof",Used,"92,112",2019,All-wheel drive (AWD),BMW,Automatic,3-Series,Gasoline,Silver,Sedan
"$17,221.00 ", 2014 Buick Enclave Leather,Used,"166,136",2014,Front-wheel drive (FWD),Buick,Automatic,Enclave,Gasoline,Gold,"SUV, Crossover"
"$17,500.00 ", 2012 Cadillac CTS Coupe Performance - COUPE,Used,"128,859",2012,Rear-wheel drive (RWD),Cadillac,Automatic,CTS,Gasoline,Black,Sedan
0, 2020 Cadillac CT5 Premium Luxury,Used,"42,487",2020,All-wheel drive (AWD),Cadillac,Automatic,CT5,Gasoline,Other,Sedan
0, 2022 Buick Envision Preferred,Used,"12,182",2022,All-wheel drive (AWD),Buick,Automatic,Envision,Gasoline,Black,"SUV, Crossover"
0," 2013 BMW M5 NAVIGATION, WHITE LEATHER",Used,"115,120",2013,Rear-wheel drive (RWD),BMW,Automatic,M5,Gasoline,Blue,Sedan
"$40,000.00 ", 2022 Ford Bronco Sport Outer Banks,Used,"21,633",2022,4 x 4,Ford,Automatic,Other,Gasoline,Black,"SUV, Crossover"
"$36,899.00 ", 2021 Ford Edge ST Line,Used,"55,168",2021,Front-wheel drive (FWD),Ford,Automatic,Edge,Gasoline,Blue,"SUV, Crossover"
0, 2022 Chevrolet Equinox RS,Used,"63,616",2022,All-wheel drive (AWD),Chevrolet,Automatic,Equinox,Gasoline,Silver,"SUV, Crossover"
0, 2020 Cadillac XT5 Sport AWD,Used,"71,451",2020,All-wheel drive (AWD),Cadillac,Automatic,XT5,Gasoline,Black,"SUV, Crossover"
0, 2021 Hyundai Santa Fe Preferred,Used,"73,134",2021,All-wheel drive (AWD),Hyundai,Automatic,Santa Fe,Gasoline,White,"SUV, Crossover"
0,"2017 Cadillac XT5 Luxury - MOONROOF, REAR CROSS TRAFFIC",Used,"121,725",2017,Front-wheel drive (FWD),Cadillac,Automatic,XT5,Gasoline,Silver,"SUV, Crossover"
"$39,000.00 ","2020 Cadillac XT4 AWD Midnight Sport Package, 20s, Collision",Used,"42,512",2020,All-wheel drive (AWD),Cadillac,Automatic,XT4,Gasoline,Black,"SUV, Crossover"
"$59,995.00 ",2020 RAM 1500 Sport,Used,"44,558",2020,4 x 4,Ram,Automatic,1500,Gasoline,Black,Other
"$13,000.00 ",2011 Land Rover LR2,Used,"114,000",2011,,Land Rover,Automatic,LR2,Gasoline,Green,"SUV, Crossover"
0,2022 Dodge Charger GT | AWD | Navigation | Leather,Used,"11,042",2022,All-wheel drive (AWD),Dodge,Automatic,Charger,Gasoline,Blue,Sedan
0, 2021 Mazda MX-5 GT | LEATHER | NAV | BOSE,Used,"5,150",2021,Rear-wheel drive (RWD),Mazda,Automatic,MX-5 Miata,Gasoline,Grey,Sedan
0,2023 Nissan Murano | MIDNIGHT | LEATHER | PANO ROOF,Used,"6,482",2023,All-wheel drive (AWD),Nissan,Automatic,Murano,Gasoline,Grey,"SUV, Crossover"
0,2013 Lincoln MKZ | Leather | Back Up | Bluetooth,Used,"77,004",2013,Front-wheel drive (FWD),Lincoln,Automatic,MKZ,Gasoline,Red,Sedan
0,2022 Jeep Cherokee Limited | TOW PKG | CarPlay | Blind Spot,Used,"7,169",2022,4 x 4,Jeep,Automatic,Cherokee,Gasoline,Grey,"SUV, Crossover"
"$38,980.00 ",2020 Acura RDX Platinum Elite | 360 Backup | Pano Roof | Leather,Used,"57,870",2020,All-wheel drive (AWD),Acura,Automatic,RDX,Gasoline,Silver,"SUV, Crossover"
"$18,999.00 ",2015 Dodge Journey R/T,Used,"136,050",2015,All-wheel drive (AWD),Dodge,Automatic,Journey,Other,White,"SUV, Crossover"
"$22,998.00 ","2018 Ford Escape S Power group, Reverse Camera, Keyless entry",Used,"49,000",2018,Front-wheel drive (FWD),Ford,Automatic,Escape,Gasoline,White,"SUV, Crossover"
0,"2022 Ford F-150 XLT CREW CAB 5.5 Box, Back-Up Camera, Big",Used,"28,315",2022,4 x 4,Ford,Automatic,F-150,Gasoline,Black,Pickup Truck
"$94,995.00 ",2023 Mercedes-Benz Sprinter Cab Chassis,Used,200,2023,Rear-wheel drive (RWD),Mercedes-Benz,Automatic,Other,Diesel,Grey,Pickup Truck
"$21,295.00 ",2018 Hyundai Kona Ultimate | 1.6T | AWD | Leather | Navi,Used,"141,140",2018,All-wheel drive (AWD),Hyundai,Automatic,Kona,Gasoline,White,"SUV, Crossover"
"$14,999.00 ",2014 Toyota Corolla S,Used,"155,623",2014,Front-wheel drive (FWD),Toyota,Automatic,Corolla,Gasoline,Red,Sedan
"$71,795.00 ",2023 Kia EV6 LONG RANGE W/GT-LINE PKG 2 | LOW KMS! | NO ACCID...,Used,"3,198",2023,All-wheel drive (AWD),Kia,Automatic,EV6,Electric,White,"SUV, Crossover"
"$92,650.00MSRP: $92,650.00",2024 Ram 1500 LIMITED,New,0,2024,Other,Ram,Automatic,1500,Gasoline,White,Pickup Truck
"$17,995.00 ",2016 Chevrolet Malibu LT,Used,"117,903",2016,Front-wheel drive (FWD),Chevrolet,Automatic,Malibu,Gasoline,White,Sedan
"$26,995.00 ",2015 Jeep Wrangler Unlimited Sahara,Used,"174,298",2015,4 x 4,Jeep,,Wrangler,Gasoline,Blue,"SUV, Crossover"
"$29,800.00 ",2022 Hyundai Elantra Hybrid Limited,Used,"68,319",2022,Front-wheel drive (FWD),Hyundai,Automatic,Elantra,Hybrid-Electric,White,Sedan
"$18,997.00 ", 2015 Volvo XC60 T6 Premier Plus AWD,Used,"122,445",2015,All-wheel drive (AWD),Volvo,Automatic,XC60,Other,Blue,Other
"$42,747.00MSRP: $42,747.00", 2023 Nissan Rogue SL,New,0,2023,All-wheel drive (AWD),Nissan,Automatic,Rogue,Gasoline,Red,"SUV, Crossover"
"$51,389.00 ",2021 GMC Sierra 1500 SLT,Used,"90,510",2021,4 x 4,GMC,Automatic,Sierra 1500,Gasoline,Other,Other
"$34,967.00 ",2018 Mercedes-Benz GLC 350e,Used,"84,437",2018,All-wheel drive (AWD),Mercedes-Benz,Automatic,GLC,Hybrid-Electric,White,"SUV, Crossover"
"$14,995.00 ","2014 Nissan Altima SL $14,995 Safetied ONLY 107,568 KMS!",Used,"107,568",2014,Front-wheel drive (FWD),Nissan,Automatic,Altima,Gasoline,Black,Sedan
"$24,598.00 ",2020 Nissan Sentra SV | ONE OWNER | CLEAN CARFAX | CARPLAY,Used,"6,410",2020,Front-wheel drive (FWD),Nissan,Automatic,Sentra,Gasoline,Black,Sedan
"$36,999.00 ",2016 FORD MUSTANG GT 5.0 PREMIUM AVAILABLE FOR SALE,Used,"68,000",2016,,Ford,Manual,Mustang,Gasoline,Silver,Coupe (2 door)
"$24,500.00 ", 1979 GMC Jimmy HIGH SIERRA,Used,"86,905",1979,4 x 4,GMC,,Jimmy,Gasoline,Black,"SUV, Crossover"
"$27,495.00 ",2019 Ford Edge SEL AWD Cuir Toit Cam NAV Nav,Used,"71,656",2019,Other,Ford,Automatic,Edge,Other,Grey,"SUV, Crossover"
"$24,000.00 ",2019 Toyota Corolla Low Kms,Used,"64,000",2019,,Toyota,,Corolla,,,Sedan
"$15,750.00 ",2017 Chevy Cruz,Used,"127,000",2017,Front-wheel drive (FWD),Chevrolet,Automatic,Cruze,Gasoline,,Sedan
"$27,955.00 ",2018 Volkswagen Tiguan Trendline,Used,"62,799",2018,Front-wheel drive (FWD),Volkswagen,Automatic,Tiguan,Gasoline,Grey,"SUV, Crossover"
"$10,500.00 ",2011 Toyota Sienna for sale,Used,"208,000",2011,,Toyota,Automatic,Sienna,Gasoline,Green,"Minivan, Van"
"$25,888.00 ",2017 BMW X1 XDRIVE 28i | AWD | PANO | CAM,Used,"79,279",2017,All-wheel drive (AWD),BMW,Automatic,X1,Gasoline,White,"SUV, Crossover"
"$57,988.00 ",2019 MERCEDES-BENZ E450 | 4MATIC | AMG PKG | WHITE INT | PANO | ,Used,"37,982",2019,All-wheel drive (AWD),Mercedes-Benz,Automatic,E-Class,Other,Blue,Coupe (2 door)
"$29,880.00 ",2018 MERCEDES-BENZ GLC43 AMG | AWD | NAVI | CAM | RED STITCH,Used,"162,495",2018,All-wheel drive (AWD),Mercedes-AMG,Automatic,GLC,Gasoline,Grey,"SUV, Crossover"
"$27,495.00 ",2020 Honda CR-V LX AWD,Used,"115,204",2020,All-wheel drive (AWD),Honda,Automatic,CR-V,Other,Black,"SUV, Crossover"
"$25,995.00 ",2019 Honda HR-V LX AWD CVT,Used,"102,704",2019,All-wheel drive (AWD),Honda,Automatic,HR-V,Other,Black,"SUV, Crossover"
"$27,995.00 ",2019 Jeep Cherokee Limited 4x4,Used,"89,948",2019,4 x 4,Jeep,Automatic,Cherokee,Other,White,"SUV, Crossover"
0,2020 Honda Civic EX w/New Wheel Design CVT,Used,"10,598",2020,Front-wheel drive (FWD),Honda,Automatic,Civic,Other,Blue,Sedan
"$29,995.00 ",2020 Honda Accord Sport CVT,Used,"100,654",2020,Front-wheel drive (FWD),Honda,Automatic,Accord,Other,Other,Sedan
"$28,995.00 ",2018 Jeep Wrangler Sport 4x4,Used,"93,344",2018,4 x 4,Jeep,Manual,Wrangler,Other,Other,"SUV, Crossover"
0,2019 GMC Terrain AWD 4dr SLE,Used,"126,531",2019,All-wheel drive (AWD),GMC,Automatic,Terrain,Other,Silver,"SUV, Crossover"
"$29,495.00 ",2019 Volkswagen Jetta 1.4 TSI Highline,Used,"47,682",2019,Front-wheel drive (FWD),Volkswagen,Automatic,Jetta,Gasoline,Blue,Sedan
"$69,900.00 ",2019 Mercedes-Benz Sprinter Passenger Van Mercedes Benz - SPRINT,Used,"150,000",2019,Rear-wheel drive (RWD),Mercedes-Benz,Automatic,Other,Diesel,Black,"Minivan, Van"
"$5,000.00 ",2013 Kia Forte Koup EX,Used,"221,800",2013,,Kia,Manual,Forte,Gasoline,Red,Sedan
"$13,655.00 ",2011 Hyundai Santa Fe GL - No Accidents,Used,"143,470",2011,,Hyundai,Automatic,Santa Fe,Gasoline,Beige,"SUV, Crossover"
"$7,990.00 ",2012 ChevyCruze w/ all-seasons and winter tires price negotiable,Used,"152,438",2012,Front-wheel drive (FWD),Chevrolet,Automatic,Cruze,Gasoline,Silver,Sedan
"$27,995.00 ",2020 Nissan Qashqai SL,Used,"79,924",2020,All-wheel drive (AWD),Nissan,Automatic,Qashqai,Gasoline,Black,"SUV, Crossover"
"$12,950.00 ",2016 Hyundai Elantra,Used,"193,126",2016,Front-wheel drive (FWD),Hyundai,Automatic,Elantra,Gasoline,Blue,Other
"$2,400.00 ",2009 Hyundai Santa fe,Used,"268,000",2009,,Hyundai,Automatic,Santa Fe,,,"SUV, Crossover"
"$45,987.00 ",2020 Hyundai Palisade Luxury 7 Passenger,Used,"100,802",2020,All-wheel drive (AWD),Hyundai,Automatic,Palisade,Gasoline,Blue,"SUV, Crossover"
"$26,995.00 ", 2020 Volkswagen Jetta Highline,Used,"82,679",2020,Front-wheel drive (FWD),Volkswagen,Automatic,Jetta,Gasoline,Silver,"Minivan, Van"
"$26,995.00 ", 2020 Volkswagen Jetta Highline,Used,"85,479",2020,Front-wheel drive (FWD),Volkswagen,Automatic,Jetta,Gasoline,Grey,"Minivan, Van"
"$25,995.00 ", 2021 Hyundai Elantra Preferred,Used,"81,325",2021,Front-wheel drive (FWD),Hyundai,,Elantra,Gasoline,Grey,"Minivan, Van"
"$14,500.00 ",PICKUP TRUCK HONDA RIDGELINE low km ,Used,164,2009,4 x 4,Honda,Automatic,Ridgeline,Gasoline,Black,Pickup Truck
"$21,995.00 ",2018 Nissan Rogue S  ALL WHEEL DRIVE/ANDROID AUTO/APPLE CARPLAY!,Used,"117,000",2018,All-wheel drive (AWD),Nissan,Automatic,Rogue,Gasoline,White,"SUV, Crossover"
"$20,988.00 ","2017 Nissan Rogue SV AWD Tech, Nav, Pano Roof, Heated Steering",Used,"105,000",2017,All-wheel drive (AWD),Nissan,Automatic,Rogue,Gasoline,Grey,"SUV, Crossover"
"$43,995.00 ", 2022 Jeep Cherokee LIMITED | LOANER CAR | 3.2L V6 | LEATHER |,Used,"6,864",2022,4 x 4,Jeep,Automatic,Cherokee,Gasoline,White,"SUV, Crossover"
"$44,600.00 ",V6 AWD 2021 Dodge Durango GT,Used,"49,933",2021,All-wheel drive (AWD),Dodge,Automatic,Durango,Gasoline,White,"SUV, Crossover"
"$27,350.00 ","2017 Toyota RAV4 SE ROOF, HEATED SEATS, BK.CAM, BLIS",Used,"99,537",2017,All-wheel drive (AWD),Toyota,Automatic,RAV4,Gasoline,White,"SUV, Crossover"
"$51,999.00 ",2022 Chevrolet Colorado LT,Used,"39,763",2022,4 x 4,Chevrolet,Automatic,Colorado,Gasoline,Orange,Pickup Truck
"$39,995.00 ",2020 Mercedes-Benz GLC 300 4MATIC 360CAM AMG Navigation Panorami,Used,"51,542",2020,All-wheel drive (AWD),Mercedes-Benz,Automatic,GLC,Gasoline,Grey,"SUV, Crossover"
"$58,995.00 ",2023 Tesla Model Y Standard Range No Accident Brand New Autopilo,Used,118,2023,Rear-wheel drive (RWD),Tesla,Automatic,Model Y,Gasoline,White,"SUV, Crossover"
"$38,900.00 ",2021 Audi Q3 Komfort | AWD | ONE OWNER | NO ACCIDENTS,Used,"68,066",2021,All-wheel drive (AWD),Audi,Automatic,Q3,Gasoline,Black,"SUV, Crossover"
"$31,397.00 ",2022 Honda HR-V LX AWD | ONE OWNER | ACCIDENT FREE | CARPLAY,Used,"53,699",2022,All-wheel drive (AWD),Honda,Automatic,HR-V,Gasoline,White,"SUV, Crossover"
"$23,397.00 ",2020 Hyundai Elantra Preferred | SUNROOF | BLINDSPOT | CARPLAY,Used,"78,209",2020,Front-wheel drive (FWD),Hyundai,Automatic,Elantra,Gasoline,Blue,Sedan
0,2016 Volkswagen Jetta Sedan Comfortline | ONE OWNER | CARPLAY,Used,"73,791",2016,Front-wheel drive (FWD),Volkswagen,Automatic,Jetta,Gasoline,Grey,Sedan
"$37,200.00 ",2019 Honda Accord Hybrid Touring | ONE OWNER | BLINDSPOT,Used,"56,223",2019,Front-wheel drive (FWD),Honda,Automatic,Accord,Hybrid-Electric,Other,Sedan
"$29,108.00 ",2017 Honda CR-V EX-L | AWD | ONE OWNER | ACCIDENT FREE,Used,"105,814",2017,All-wheel drive (AWD),Honda,Automatic,CR-V,Gasoline,Other,"SUV, Crossover"
0,2019 Hyundai Sonata Essential | ONE OWNER | NO ACCIDENTS,Used,"95,334",2019,Front-wheel drive (FWD),Hyundai,Automatic,Sonata,Gasoline,Grey,Sedan
0,2017 Hyundai Tucson SE | AWD | BLINDSPOT | BACKUP CAM | KEYLESS,Used,"112,706",2017,All-wheel drive (AWD),Hyundai,Automatic,Tucson,Gasoline,Grey,"SUV, Crossover"
"$24,898.00 ",2019 Honda Civic Sedan LX | ONE OWNER | NO ACCIDENTS | CARPLAY,Used,"104,986",2019,Front-wheel drive (FWD),Honda,Automatic,Civic,Gasoline,Other,Sedan
0,2017 Honda Ridgeline LX AWD | ONE OWNER | CARPLAY | BACKUP CAM,Used,"152,150",2017,All-wheel drive (AWD),Honda,Automatic,Ridgeline,Gasoline,Black,Pickup Truck
"$24,900.00 ", 2020 Ford Fusion **SE*NAVIGATION*BLUETOOTH!!**,Used,"24,000",2020,Front-wheel drive (FWD),Ford,Automatic,Fusion,Gasoline,Black,Sedan
"$4,900.00 ",2010 Pontiac G5 SE,Used,"94,929",2010,Front-wheel drive (FWD),Pontiac,Automatic,G5,Gasoline,Blue,Coupe (2 door)
"$43,277.00 ",2022 Buick Envision Avenir - Sunroof - Navigation - $324 B/W,Used,"30,109",2022,All-wheel drive (AWD),Buick,Automatic,Envision,Gasoline,White,"SUV, Crossover"
"$27,500.00 ", 2018 Volkswagen Tiguan COMFORTLINE AWD LEATHER PANO/ROOF A/CARP,Used,"102,442",2018,All-wheel drive (AWD),Volkswagen,Automatic,Tiguan,Gasoline,White,"SUV, Crossover"
"$30,000.00 ",2016 GMC Sierra Elevation ,Used,"228,000",2016,,GMC,,Sierra 1500,,,Pickup Truck
"$54,755.00 ",2024 Lexus UX 250h,Used,3,2024,All-wheel drive (AWD),Lexus,Automatic,Other,Hybrid-Electric,Black,"SUV, Crossover"
"$15,999.00 ",2016 Toyota Corolla S/ NAVI/ Leather/,Used,"168,936",2016,Front-wheel drive (FWD),Toyota,Automatic,Corolla,Gasoline,White,Sedan
"$49,888.00 ", 2022 Ford Edge ST 2.7L LEATHER ROOF WEATHER PKG MINT CDNTN LOW ,Used,"23,023",2022,Other,Ford,Automatic,Edge,Other,White,"SUV, Crossover"
"$12,000.00 ",2013 Infiniti G37x Sport Coupe,Used,"162,977",2013,,Infiniti,Automatic,G37x,Gasoline,Grey,Coupe (2 door)
"$18,995.00 ",2017 Kia Forte LX - Bluetooth - SiriusXM,Used,"77,000",2017,Front-wheel drive (FWD),Kia,Automatic,Forte,Gasoline,White,Sedan
"$18,995.00 ",2017 Kia Forte LX - Bluetooth - SiriusXM,Used,"77,000",2017,Front-wheel drive (FWD),Kia,Automatic,Forte,Gasoline,White,Sedan
"$18,995.00 ",2017 Kia Forte LX - Bluetooth - SiriusXM,Used,"77,000",2017,Front-wheel drive (FWD),Kia,Automatic,Forte,Gasoline,White,Sedan
"$47,875.00MSRP: $60,875.00",2023 Ram 1500 Classic EXPRESS,New,0,2023,Other,Ram,Automatic,1500,Gasoline,Blue,Pickup Truck
"$21,467.00 ",2019 Nissan Kicks SR,Used,"92,158",2019,Front-wheel drive (FWD),Nissan,Automatic,Other,Gasoline,White,"SUV, Crossover"
"$25,485.00 ",2018 Hyundai Elantra GT Sport Ultimate DCT,Used,"74,595",2018,Front-wheel drive (FWD),Hyundai,Automatic,Elantra,Other,Grey,Hatchback
"$78,630.00MSRP: $79,825.00",2023 Jeep Grand Cherokee 4xe 4XE,New,0,2023,Other,Jeep,Automatic,Grand Cherokee 4xe,Hybrid-Electric,Grey,"SUV, Crossover"
"$23,495.00 ", 2021 Chevrolet Malibu LT,Used,"138,195",2021,Front-wheel drive (FWD),Chevrolet,Automatic,Malibu,Gasoline,Silver,Sedan
"$7,750.00 ",2011 BMW 3 Series,Used,"134,000",2011,,BMW,Manual,3-Series,Gasoline,Silver,Sedan
"$14,900.00 ",2012 Range Rover sport lux,Used,"168,000",2012,All-wheel drive (AWD),Land Rover,Automatic,Range Rover Sport,Gasoline,,"SUV, Crossover"
"$24,999.00 ",2019 Honda Civic Sedan EX,Used,"105,382",2019,Front-wheel drive (FWD),Honda,Automatic,Civic,Other,Other,Sedan
"$16,999.00 ",2018 Dodge Grand Caravan Canada Value Package,Used,"184,541",2018,Front-wheel drive (FWD),Dodge,Automatic,Grand Caravan,Other,Other,Other
"$53,995.00 ",2021 Ford F-150 XLT | XTR PKG | TAILGATE STEP | NAV | HEATED SEA,Used,"33,597",2021,4 x 4,Ford,Automatic,F-150,Hybrid-Electric,Silver,Pickup Truck
"$14,995.00 ",2013 Toyota Camry L,Used,"148,223",2013,Front-wheel drive (FWD),Toyota,Automatic,Camry,Gasoline,Green,Sedan
"$38,047.00MSRP: $38,047.00", 2023 Nissan Rogue SV Moonroof,New,0,2023,All-wheel drive (AWD),Nissan,Automatic,Rogue,Gasoline,Black,"SUV, Crossover"
"$42,488.00 ",2023 Volkswagen Golf GTI Performance | PANO ROOF | NAV | CARPLAY,Used,"16,340",2023,Front-wheel drive (FWD),Volkswagen,Manual,GTI,Gasoline,Grey,Hatchback
"$21,995.00 ",2017 Hyundai Tucson FWD 4dr 2.0L,Used,"51,598",2017,Front-wheel drive (FWD),Hyundai,Automatic,Tucson,Other,Grey,"SUV, Crossover"
Please Contact,2012 Honda Civic Sdn LX,Used,"198,749",2012,Front-wheel drive (FWD),Honda,Automatic,Civic,Other,Black,Sedan
"$31,695.00 ",2020 Kia Sportage EX,Used,"73,423",2020,All-wheel drive (AWD),Kia,Automatic,Sportage,Gasoline,Blue,"SUV, Crossover"
"$69,900.00 ", 2019 BMW M4 Coupe | No Accidents | ADAPTIVE M SUSPENSION,Used,"61,726",2019,Rear-wheel drive (RWD),BMW,Automatic,M4,Gasoline,Black,Coupe (2 door)
"$41,888.00 ", 2023 Subaru Outback Onyx,Used,"22,512",2023,All-wheel drive (AWD),Subaru,Automatic,Outback,Gasoline,White,"SUV, Crossover"
"$11,995.00 ",2016 Ford Focus SE  GREAT GAS MILEAGE!!,Used,"153,100",2016,Front-wheel drive (FWD),Ford,Automatic,Focus,Gasoline,White,Sedan
"$36,999.00 ", 2023 Hyundai Tucson Essential,Used,"25,379",2023,Front-wheel drive (FWD),Hyundai,,Tucson,Gasoline,Silver,"SUV, Crossover"
"$23,698.00 ", 2020 Chevrolet Spark LT - HEATED SEATS / SUNROOF,Used,"12,746",2020,Front-wheel drive (FWD),Chevrolet,Automatic,Spark,Gasoline,Red,Hatchback
"$16,979.00 ",2017 Ram ProMaster City Wagon SLT CARGO VAN!!! READY FOR WORK!!!,Used,"189,910",2017,Front-wheel drive (FWD),Ram,Automatic,Promaster City,Gasoline,White,Other
"$29,998.00 ",2017 Chevrolet Camaro 1LT | LOW KM | 3.6L V6 | CLEAN CARFAX,Used,"35,495",2017,Rear-wheel drive (RWD),Chevrolet,Automatic,Camaro,Gasoline,Black,Coupe (2 door)
